Player,Squad,Pos,Age,Min,90s,Gls,Ast,TklW,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,KP_per90,PrgP_per90,Succ_per90,PrgC_per90,TklW_per90,Int_per90,SCA_per90,GCA_per90,SoT%,Cmp%
Frenkie de Jong,Barcelona,MF,25,2534,28.2,2,4,26,0.07092198581560284,0.14184397163120568,0.0851063829787234,0.0851063829787234,0.1524822695035461,1.5957446808510638,9.929078014184398,1.2411347517730498,3.2624113475177308,0.9219858156028369,1.2411347517730498,3.900709219858156,0.3900709219858156,55.6,90.0
Gabriel Paulista,Valencia,DF,31,1504,16.7,1,0,9,0.059880239520958084,0.0,0.041916167664670656,0.041916167664670656,0.017964071856287425,0.29940119760479045,3.6526946107784433,0.0,0.718562874251497,0.5389221556886228,1.9161676646706587,0.47904191616766467,0.0,14.3,83.9
Gabriel Veiga,Celta Vigo,MF,20,2294,25.5,11,4,19,0.43137254901960786,0.1568627450980392,0.2392156862745098,0.2392156862745098,0.10196078431372549,1.0980392156862746,4.2745098039215685,1.5294117647058822,2.6666666666666665,0.7450980392156863,0.8235294117647058,3.1372549019607843,0.3137254901960784,46.8,74.4
Gastón Álvarez,Getafe,DF,22,1501,16.7,2,0,30,0.11976047904191617,0.0,0.029940119760479042,0.029940119760479042,0.011976047904191617,0.23952095808383234,2.2754491017964074,0.47904191616766467,0.6586826347305389,1.7964071856287427,0.8982035928143713,0.9580838323353293,0.059880239520958084,40.0,60.4
Gavi,Barcelona,"MF,FW",17,2531,28.1,2,4,31,0.07117437722419928,0.14234875444839856,0.11387900355871886,0.11387900355871886,0.13167259786476868,1.3523131672597863,4.7686832740213525,0.9608540925266903,1.7437722419928825,1.103202846975089,0.6405693950177935,2.562277580071174,0.24911032028469748,28.6,85.1
Geoffrey Kondogbia,Atlético Madrid,MF,29,1006,11.2,0,2,23,0.0,0.17857142857142858,0.0625,0.0625,0.08035714285714286,0.44642857142857145,3.7500000000000004,0.44642857142857145,0.5357142857142857,2.053571428571429,2.3214285714285716,1.0714285714285714,0.17857142857142858,0.0,89.4
Gerard Gumbau,Elche,MF,27,2737,30.4,1,6,25,0.03289473684210526,0.19736842105263158,0.0756578947368421,0.0756578947368421,0.20394736842105265,2.4013157894736845,4.769736842105264,0.23026315789473686,0.5921052631578948,0.8223684210526316,0.9210526315789475,3.980263157894737,0.23026315789473686,38.3,76.9
Gerard Moreno,Villarreal,FW,30,123,13.7,7,3,6,0.5109489051094891,0.21897810218978103,0.6569343065693432,0.5474452554744526,0.19708029197080296,1.3868613138686132,4.963503649635037,2.1167883211678835,1.5328467153284673,0.43795620437956206,0.36496350364963503,3.5036496350364965,0.36496350364963503,46.3,73.1
Gerard Piqué,Barcelona,DF,35,384,4.3,0,0,4,0.0,0.0,0.0930232558139535,0.0930232558139535,0.0,0.23255813953488372,8.13953488372093,0.23255813953488372,0.6976744186046512,0.9302325581395349,0.46511627906976744,1.1627906976744187,0.0,0.0,91.7
Germán Pezzella,Betis,DF,31,2511,27.9,0,0,28,0.0,0.0,0.03225806451612903,0.03225806451612903,0.007168458781362008,0.14336917562724016,1.935483870967742,0.14336917562724016,0.28673835125448033,1.0035842293906811,1.7921146953405018,0.5376344086021506,0.03584229390681004,0.0,86.1
Gerónimo Rulli,Villarreal,GK,30,126,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,85.5
Giorgi Mamardashvili,Valencia,GK,21,342,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.10526315789473684,0.02631578947368421,0.0,64.2
Giovani Lo Celso,Villarreal,"MF,FW",26,1126,12.5,2,3,28,0.16,0.24,0.192,0.192,0.264,2.48,7.76,1.76,2.8,2.24,0.48,4.8,0.24,23.3,83.3
Giovanni González,Mallorca,DF,27,926,10.3,0,2,8,0.0,0.1941747572815534,0.019417475728155338,0.019417475728155338,0.11650485436893203,0.48543689320388345,2.7184466019417473,0.7766990291262136,0.9708737864077669,0.7766990291262136,0.6796116504854368,1.1650485436893203,0.2912621359223301,0.0,78.5
Gonzalo Escalante,Cádiz,MF,29,1121,12.5,4,1,24,0.32,0.08,0.28,0.28,0.12,0.8,4.0,0.56,0.24,1.92,1.36,2.0,0.24,42.9,75.1
Gonzalo Melero,Almería,MF,28,1855,20.6,4,3,16,0.1941747572815534,0.14563106796116504,0.14563106796116504,0.11165048543689318,0.08737864077669903,0.9223300970873786,4.708737864077669,0.8252427184466019,1.5048543689320388,0.7766990291262136,0.3398058252427184,2.5728155339805823,0.2912621359223301,43.5,86.4
Gonzalo Montiel,Sevilla,DF,25,1524,16.9,0,3,15,0.0,0.1775147928994083,0.04733727810650888,0.04733727810650888,0.12426035502958581,1.183431952662722,3.3727810650887577,0.591715976331361,2.0118343195266273,0.8875739644970415,1.124260355029586,2.4260355029585803,0.2958579881656805,12.5,77.7
Gonzalo Plata,Valladolid,FW,21,2302,25.6,1,5,35,0.0390625,0.1953125,0.14453125,0.14453125,0.12109375,1.4453125,2.109375,2.578125,3.7890625,1.3671875,0.46875,3.6328125,0.4296875,35.1,74.4
Gonzalo Verdú,Elche,DF,33,703,7.8,1,0,5,0.12820512820512822,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,1.6666666666666667,0.0,0.0,0.6410256410256411,1.2820512820512822,0.38461538461538464,0.0,22.2,79.6
Gonzalo Villar,Getafe,MF,24,457,5.1,0,0,5,0.0,0.0,0.019607843137254905,0.019607843137254905,0.058823529411764705,0.5882352941176471,5.294117647058824,2.5490196078431375,2.5490196078431375,0.9803921568627452,1.1764705882352942,1.1764705882352942,0.0,33.3,79.5
Gonçalo Paciência,Celta Vigo,"FW,MF",27,662,7.4,2,0,5,0.27027027027027023,0.0,0.25675675675675674,0.25675675675675674,0.08108108108108107,0.8108108108108107,1.4864864864864864,0.8108108108108107,0.9459459459459459,0.6756756756756757,0.0,2.4324324324324325,0.4054054054054054,33.3,58.3
Gorka Guruzeta,Athletic Club,FW,25,1421,15.8,6,1,20,0.37974683544303794,0.06329113924050632,0.38607594936708856,0.38607594936708856,0.06329113924050632,0.8860759493670886,2.3417721518987342,0.6329113924050632,0.9493670886075949,1.2658227848101264,0.2531645569620253,2.4683544303797467,0.12658227848101264,33.3,72.6
Guido Rodríguez,Betis,MF,28,2872,31.9,1,0,75,0.031347962382445145,0.0,0.03761755485893417,0.03761755485893417,0.009404388714733543,0.3448275862068966,3.8557993730407527,0.6896551724137931,0.3448275862068966,2.3510971786833856,1.316614420062696,1.1598746081504703,0.06269592476489029,27.3,86.7
